PASS
ok  	github.com/blinklabs-io/plutigo/builtin	0.016s
goos: linux
goarch: arm64
pkg: github.com/blinklabs-io/plutigo/cek
BenchmarkFlatFiles/auction_1-2-128         	    1884	   3595429 ns/op
BenchmarkFlatFiles/auction_1-2-128         	    1754	   3714398 ns/op
BenchmarkFlatFiles/auction_1-2-128         	    1502	   3754323 ns/op
BenchmarkFlatFiles/auction_1-2-128         	    1537	   3774172 ns/op
BenchmarkFlatFiles/auction_1-2-128         	    1515	   3724894 ns/op
BenchmarkFlatFiles/auction_1-2-128         	    1648	   3653362 ns/op
BenchmarkFlatFiles/auction_1-3-128         	    1522	   3935652 ns/op
BenchmarkFlatFiles/auction_1-3-128         	    1494	   3753769 ns/op
BenchmarkFlatFiles/auction_1-3-128         	    1466	   3703071 ns/op
BenchmarkFlatFiles/auction_1-3-128         	    1730	   3720670 ns/op
BenchmarkFlatFiles/auction_1-3-128         	    1389	   3728831 ns/op
BenchmarkFlatFiles/auction_1-3-128         	    1476	   3580097 ns/op
BenchmarkFlatFiles/auction_1-4-128         	    3087	   1678329 ns/op
BenchmarkFlatFiles/auction_1-4-128         	    3478	   1708624 ns/op
BenchmarkFlatFiles/auction_1-4-128         	    3109	   1644746 ns/op
BenchmarkFlatFiles/auction_1-4-128         	    3675	   1703293 ns/op
BenchmarkFlatFiles/auction_1-4-128         	    3076	   1645223 ns/op
BenchmarkFlatFiles/auction_1-4-128         	    3061	   1744317 ns/op
BenchmarkFlatFiles/auction_2-1-128         	    4438	   1398721 ns/op
BenchmarkFlatFiles/auction_2-1-128         	    3445	   1495422 ns/op
BenchmarkFlatFiles/auction_2-1-128         	    3518	   1479964 ns/op
BenchmarkFlatFiles/auction_2-1-128         	    4243	   1427949 ns/op
BenchmarkFlatFiles/auction_2-1-128         	    3736	   1377633 ns/op
BenchmarkFlatFiles/auction_2-1-128         	    3744	   1475176 ns/op
BenchmarkFlatFiles/auction_2-2-128         	    1509	   3827536 ns/op
BenchmarkFlatFiles/auction_2-2-128         	    1537	   3523729 ns/op
